이름,주소,전화번호,위도,경도,가격정보,장소정보,주차난이도,주차장 정보,편의시설 정보,홈페이지URL,장소이름,이미지 경로,썸네일이미지 경로,행사 시작일,행사 종료일,운영시간,이용시간,연령제한,예약URL,요약정보,행사 설명,할인정보,서브 행사 정보,프로그램 내용,실내외 여부,추가 이미지 정보
강남페스티벌,"서울특별시 강남구 영동대로 513 코엑스영동대로, 마루공원, 코엑스광장, 별마당도서관",02-3423-5543,127.0592179950,37.5119175967,무료,,,,,,"영동대로, 마루공원, 코엑스광장, 별마당도서관",http://tong.visitkorea.or.kr/cms/resource/39/2998139_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/39/2998139_image3_1.JPG,20231005,20231009,행사별 운영시간 상이,,,,"강남을 대표하는 문화예술축제 2023 강남페스티벌이 10월5일부터 5일동안 여러분을 찾아간다. 영동대로 위에서 펼쳐지는 대규모 K-POP콘서트부터, 마루공원 그린콘서트, 별마당 패션쇼, k-컬쳐 미식여행까지 각종 볼거리와 즐길거리가 가득한 강남으로 지금 놀러가자.","1. 메인프로그램 : 개막제(10/5), 별마당패션쇼(10/6),마루공원그린콘서트(10/7),영동대로 K-POP콘서트(10/8),국제평화마라톤(10/9)2. 부대 행사 : k-컬쳐 스테이지& 미식여행 : 코엑스 광장에서 즐기는 수제맥주, 푸드트럭, 공연이벤트 등 (축제기간내 전일운영)",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/35/2998135_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/36/2998136_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/37/2998137_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/38/2998138_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/40/2998140_image2_1.JPG']"
강릉커피축제,"강원특별자치도 강릉시 수리골길 100 강릉스피드스케이팅경기장경포 호수 광장, 강릉시 일원",033-647-6802,128.9000350279,37.7789461517,무료,,,,,,"강릉 스피드 스케이트 경기장, 경포 호수 광장, 강릉시 일원",http://tong.visitkorea.or.kr/cms/resource/75/2769775_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2769775_image2_1.JPG,20231012,20231015,10:00~18:00,,,,"강릉에서 매년 10월, 향긋한 커피향과 함께하는 강릉커피축제를 개최하고 있다.강릉을 비롯한 전국 유명 커피 업체들이 참석해 커피 무료 시음행사를 열고, 커피 명인들에게 직접 커피에 관한 전문적인 노하우를 얻는 세미나도 열린다. 올해는 가족단위형 프로그램 및 커피 관련 체험 등 다양한 문화행사도 동시에 열린다. 아름다운 강릉에서 바다를 바라보며 커피 한잔의 여유를 즐길 수 있다.",1. 대표 프로그램- 커피 야시장 운영(부설행사장)- 로스터리 카페 전시- 100人100味 바리스타 핸드드립 퍼포먼스- 커피 세미나- 커피 어워드<br[축제 먹거리 알리오] 축제 1주일 전 공개 예정.,,,,False,['http://tong.visitkorea.or.kr/cms/resource/78/2769778_image2_1.JPG']
강원세계산림엑스포,강원특별자치도 고성군 토성면 잼버리로 244,033-818-2158,128.5001657397,38.2236839691,"보통권 :일반(만 19세 ~ 64세) 10,000원(예매 8,000원)청소년(만 13세 ~ 18세) 7,000원(예매 6,000원)어린이(만 7세 ~ 12세) 5,000원(예매 4,000원)단체권 :일반(만 19세 ~ 64세) 8,000원청소년(만 13세 ~ 18세) 6,000원어린이(만 7세 ~ 12세) 5,000원※ 내국인 :20명 이상 / 외국인 : 10명 이상, 예매요금 동일, 동시입장우대권 :일반(만 19세 ~ 64세) 5,000원(예매 5,000원)청소년(만 13세 ~ 18세) 3,500원(예매 3,500원)어린이(만 7세 ~ 12세) 2,500원(예매 2,500원)※ 만 65세 ~74세, 경증(4~6급)장애인, 현역군경(의무복무자), 강원도민가족권 : 24,000원(예매 20,000원)※ 무료입장 : 국가(독립)유공자, 국민기초생활수급자, 중증(1~3)급 장애인 및 보호자 1명, 만 75세 이상, 만 7세 미만, 공무수행자, 국빈외교사절단 및 수행자, 단체인솔자(20명당 1인), 학교단체 인솔 교사",,,,,,강원도세계잼버리수련장,http://tong.visitkorea.or.kr/cms/resource/24/2804924_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2804924_image2_1.jpg,20230922,20231022,,,,," 2023 강원세계산림엑스포는 오는 2023년 9월 22일부터 10월 22일까지 31일 동안 ""세계, 인류의 미래, 산림에서 찾는다""라는 주제로 고성군 토성면에 위치한 세계잼버리수련장과 설악~금강권을 연결하는 고성, 속초, 인제, 양양 일원에서 개최된다.","푸른지구관, 산림평화관, 문화유산관, 휴양치유관, 산업교류관주행사장사전행사 : D-30 행사공식행사 : 개장식, 개막식, 폐막식공연행사 : 풍류·산림음악회, 산림프린지·힐링U 페스티벌, 마임퍼포먼스 등체험행사 : 산림문화체험/목재문화체험, 1일 목공예 클래스, 플로리스트 클래스 등부행사장고성 : DMZ 평화 탐방 투어, 테마별 스탬프 투어속초 : 생명의 숲 “빛의 정원” , 스포츠클라이밍 체험행사 등인제 : 백두대간 숲해설 경연대회, 임산물 한마당 축제양양 : 가족 목공 대회, 전국 목공예 기술자 경연대회아시아지역 산림보전 및 생태계 복원탄소중립 시대의 산림과 남북 산림협력문학으로 바라보는 산림과 통일지속가능한 산림",,,,False,['http://tong.visitkorea.or.kr/cms/resource/96/2915096_image2_1.jpg']
거제몽돌야시장,경상남도 거제시 거제중앙로17길 6,055-633-0533,128.6240397115,34.8854673826,,,,,,,거제고현시장(고현종합시장 공영주차장 옆 소공원),,,20230519,20231126,18:00~23:00,,전 연령,,"거제고현시장은 지역 핵심 상권에 위치하고 있는 거제도의 대표 전통시장이다. 기본 상설시장 300여 개의 점포로 조성되어있으며, 해산물, 특산물, 농산물 등 다양한 물품을 구매 할 수 있다. 시장을 이용했을 때 지급되는 주차권으로 한 시간까지 거제고현시장 전용 공영주차장에 무료주차가 가능하며 관광버스 주차장까지 갖추고 있다. 거제몽돌야시장은 거제고현시장에서 개장하는 거제시 최초 야시장으로 매주 금,토,일 열리며 18:00 ~ 23:00까지 운영된다.","1. 개장식행사 : 기념사, 축사, 축하공연, 맥주시음회 행사
2. 공연행사 : 퍼포먼스 댄스 공연, 초청가수(버스킹), 마술 공연 등
3. 판매 및 먹거리 행사
4. 체험행사 : 몽돌이·몽순이 SNS 인증샷 이벤트, 풍선아트, 룰렛 이벤트, 페이스페인팅 등
5. 프리마켓 운영",,,,False,[]
경남고성공룡세계엑스포,경상남도 고성군 당항만로 1116당항포관광지,055-670-3814,128.3915388600,35.0533471834,"대인 18,000원(예매권 14,000원) 소인 12,000원(예매권 7,000원) 사전예매기간 2023. 5. 1. ~ 9. 21",,,,,,고성군 당항포관광지,http://tong.visitkorea.or.kr/cms/resource/62/2987562_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/62/2987562_image3_1.png,20230922,20231029,"월~목 09:00 ~ 18:00 (매주 금, 토, 9/28, 10/1, 10/8 09:00 22:00)",,,,"공룡나라 고성에서 가 2023년 9월 22일부터 10월 29일까지 당항포관광지에서 개최된다.축제기간 동안 휴무는 없으며 매주 금요일과 토요일은 오후 10시까지 야간개장이 진행된다.'상상 그 이상의 공룡세계'라는 주제로 열리는 이번 공룡엑스포에서는 공룡을 주제로 한 대한민국 최대 규모의 공룡퍼레이드와 첨단영상과 디지털 기술을 바탕으로 복원된 공룡을 만나볼 수 있는 공룡 5D영상관, 오색 빛깔 미디어아트 존, 다양한 공룡이 살아 숨쉬는 공룡 캐릭터관, 다채로운 공룡 체험 등을 구성하여 다양한 공룡콘텐츠를 선보인다.14만평의 넓은 행사장에서 온가족이 안전하게 즐길 수 있는 공룡엑스포 행사장에는 공룡외에도 남녀노소 즐길 수 있는 마술, 풍선, 저글링 등 다양한 버스킹 공연도 준비되어 있다.이전에 3년 주기로 개최되다가 이번에 3년 연속 개최되는 2023공룡엑스포에서는 새로운 써클영상, 퍼레이드의 변화, 전시관의 다양한 변화가 이뤄질 예정이다.
 ","공룡퍼레이드(평시 11시, 16시)(금,토 야간개장시 주간 2회+1회), 상설무대(공연, 마술 등) 상시운영 ,공룡테마 체험프로그램 등 ",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/36/2828036_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/39/2828039_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/40/2828040_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/41/2828041_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/42/2828042_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/43/2828043_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/59/2987559_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/60/2987560_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/63/2987563_image2_1.png', 'http://tong.visitkorea.or.kr/cms/resource/34/2828034_image2_1.JPG']"
경복궁 별빛야행,서울특별시 종로구 사직로 161,1522-2295,126.9770319156,37.5788944508,"일반석 60,000원 / 시야제한석 55,000원",,,,,,경복궁,http://tong.visitkorea.or.kr/cms/resource/36/2999736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2999736_image3_1.jpg,20230908,20231008,"(1회) 18:40~20:30, (2회) 19:40~21:30",,,,"가을 깊은 밤, 경복궁에서 은은한 별빛 아래 경복궁 소주방에서 국악공연을 즐기며 임금님의 수라상을 맛보고, 전문해설사와 함께 경복궁 별빛 산책을 떠날 수 있다.","경복궁 별빛야행은 궁중음식체험과 국악공연을 즐기며, 경복궁 북측권역을 야간 탐방하는 프로그램1. 경복궁 외소주방 (도슭수라상 궁중음식체험과 국악공연 관람)2. 경복궁 장고       (장고마마와 나인의 작은 극 관람)3. 경복궁 집옥재/ 팔우정/ 건청궁 (전각설명)4. 경복궁 향원정 (취향교 건너 특별 관람)",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/37/2999737_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/39/2999739_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/40/2999740_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/41/2999741_image2_1.jpg']"
경북영주 풍기인삼축제,경상북도 영주시 풍기읍 성내리240-1 풍기읍 남원천 일원,054-635-0020,128.5216074341,36.8687187243,,,,,,,풍기읍 남원천 일원,http://tong.visitkorea.or.kr/cms/resource/44/1723644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1723644_image3_1.jpg,20231007,20231015,홈페이지 참조,기간내자유,전연령 가능함,,"인삼은 기력 회복과 면연력 증진에 도움이 되는 한국의 대표적인 보양식품이다.인삼의 영양분이 가장 많은 시기인 10월 한국에서 손꼽히는 인삼 산지 중 하나인 영주에서 풍기인삼축제가 열린다.건강을 상징하는 인삼을 테마로 하는 축제답게 건강관련 전시와 체험 위주로 진행된다.영양만점 풍기인삼으로 만든 인삼요리를 맛볼수 있으며 인삼깎기, 인삼병주 만들기, 풍기인삼 캐기 등 풍기인삼과 관련된 재미있는 체험도 할수있다. 또한 지역 인삼 농민들이 정성껏 수확한 수삼과 홍삼, 인삼으로 만든 가공식품도 저렴하게 구입할수 있다.","1. 메인 프로그램  - 인삼캐기체험 : 가족, 연인, 친구들과 함께 인삼밭에서 직접 캐보고 저렴한 가격으로 구입도 할수있는 체험형 프로그램 2. 부대 프로그램  - 소백산 인삼씨앗 뿌리기  - 주세붕 군수 행차 재현  - 풍기인삼 가요제  - 풍기인견 패션쇼  - 우량인삼 선발대회  - 문화예술공연 등  3. 소비자 참여 프로그램  - 인삼깎기 경연대회  - 인삼병주 만들기  - 인삼경매  - 관광객 노래자랑 등 4. 기타  - 먹거리장터  - 지역 특산품 판매 등[축제 먹거리 알리오] 축제 1주일 전 공개 예정.",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/42/1723642_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/45/1723645_image2_1.jpg']"
계룡軍문화축제,충청남도 계룡시 금암동,042-840-2621~4,127.2371546560,36.3068013339,무료,,,,,,계룡시 일원,http://tong.visitkorea.or.kr/cms/resource/35/2992935_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2992935_image3_1.jpg,20231006,20231010,09:00~17:00,,,,"국방수도 계룡시에서는 지난 2007년부터 매년 계룡軍문화축제를 개최하고 있다.민과 군이 하나가 될 어울림 한마당인 2023계룡軍문화축제는 2023년 10월 6일부터 10월 10일까지 5일간 계룡대 활주로를 중심으로 계룡시 일원에서 펼쳐진다.2023계룡軍문화축제는 지상군 페스티벌과 공동으로 개최할 예정으로 해·공군도 함께 참여하는 대한민국의 대표 軍문화축제로 개막 축하공연, 국내·외 군악·의장 초청 공연, 로드 퍼레이드, 해·공군 전시관, 우주항공 특별전시관 및 각종 체험 부대 행사로 다양한 볼거리, 즐길거리 가득한 축제를 선보일 예정이다. 軍문화에 대한 국민의 관심과 가치를 한 단계 높이는 계기를 마련하여, 계룡시가 軍문화의 메카로 도약하는 이번 축제에 많은 참여 부탁한다.","1. 공식행사 : 개막식 및 축하공연  2. 전시행사 : 해·공군 홍보체험관, 우주항공 특별전시관 운영 등   3. 공연행사 : 3軍 군악의장, 해외군악대 3개국(튀르키예. 몽골, 베트남) 초청 공연, 버스킹 공연, 시민예술단체 공연, 로드퍼레이드 등  4. 체험행사 : 1박2일 우리가족 병영캠프, 용도령 순환열차, 서바이벌 전투체험, 병영훈련체험  등  5. 부대행사 : 전국 사진촬영 대회, 계룡 팥거리 축제 등",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/33/2992933_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/36/2992936_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/37/2992937_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/38/2992938_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/39/2992939_image2_1.jpg']"
고양호수예술축제,경기도 고양시 일산동구 호수로 595,1588-7766,126.7686654803,37.6538792239,무료,,,,,,일산호수공원 및 일산문화광장 일대,http://tong.visitkorea.or.kr/cms/resource/78/2986478_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2986478_image3_1.JPG,20231006,20231009,13:00 ~20:00,,,,"2023 고양호수예술축제는 일상 속 공간인 거리를 특별함 가득한 무대로 전환하고, 관객의 발걸음 닿는 곳마다 예술을 만나는 새로운 경험을 선사하고자 한다. 호수·거리·자연·사람이 어우러진 도심의 축제, 대한민국을 대표하는 거리예술축제인 고양호수예술축제를 오는 10월, 일산호수공원에서 만나보자.","대표 프로그램1. 개막작 , 폐막작 2. 불꽃드론 쇼3. 100회 이상의 거리공연",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/76/2986476_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/77/2986477_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/78/2986478_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/79/2986479_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/80/2986480_image2_1.JPG', 'http://tong.visitkorea.or.kr/cms/resource/81/2986481_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/82/2986482_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/83/2986483_image2_1.jpg']"
고창모양성제,전라북도 고창군 고창읍 모양성로 1고창읍성(모양성) 및 시가지 일원,063-562-2999,126.7042193959,35.4315946094,무료,,,,,,고창읍성(모양성) 및 시가지 일원,http://tong.visitkorea.or.kr/cms/resource/44/2854444_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2854444_image3_1.jpg,20231019,20231023,,,,,"고창 모양성제는 유비무환 정신으로 축성한 뜻깊은 조상의 애국심을 고취시키고 향토문화를 계승 발전시키며, 고창군민의 긍지와 애향심을 높이기 위해 1973년부터 열리고 있다. 대표프로그램으로는 답성놀이와 강강술래, 거리퍼레이드가 있고 공연프로그램으로는 ‘MZ와 함께하는 모양성제’, ‘댄스페스티벌’ 등이 열리며 지역연계 첨단 CT실증사업을 곁들인 야간프로그램도 준비되어 있다. 읍성 내에서는 ‘BACK TO THE 1453’을 주제로 전통놀이체험, 3성 6치 12방 프로그램 등 남녀노소 누구나 즐길 수 있는 체험프로그램이 진행된다. 또한 함께 먹고, 마시고, 즐기는 먹거리 부스와 멋진 휴게공간이 준비되어 있다.","성황제, 강강술래, 답성놀이, 버스킹, 공연, 개막 퍼포먼스 등 #전북고창 #모양성제  #역사 #가볼만한축제 #힐링 #가족과함께 #관광지",,,,False,"['http://tong.visitkorea.or.kr/cms/resource/76/2829876_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/77/2829877_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/78/2829878_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/79/2829879_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/80/2829880_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/82/2829882_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/85/2829885_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/86/2829886_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/88/2829888_image2_1.jpg', 'http://tong.visitkorea.or.kr/cms/resource/81/2829881_image2_1.jpg']"
